"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","","","RJ","DEFERIDO","01.230.968/0001-77","","0","713000","977000","0","0","0","0","1690000"
"","","","RJ","DEFERIDO","01.230.968/0001-77","","0","255000","195000","0","0","0","0","450000"
"","","","RJ","DEFERIDO","01.230.968/0001-77","","0","1401482","88000","0","0","0","0","1489482"
"","","","RJ","DEFERIDO","01.230.968/0001-77","","0","800000","900000","0","0","0","0","1700000"
"","","","RJ","DEFERIDO","01.230.968/0001-77","","0","1469496","230000","1000000","0","0","0","2699496"
"","ESTRANHOS","","BA","DEFERIDO","01.231.528/0001-34","","240000","0","360000","0","0","0","0","600000"
"","","","RJ","IRREGULAR","01.235.517/0001-22","","0","0","200000","0","0","0","0","200000"
"","","","RS","DEFERIDO","01.246.684/0001-79","","0","0","0","0","0","2193197,86","0","2193197,86"
"","SOBREVIVENTES - OS FILHOS DA GUERRA DOS CANUDOS","","RJ","DEFERIDO","01.254.746/0001-94","","169993,27","0","0","0","0","0","0","169993,27"
"","SUBMERSOS (ex - SUBMERSO) ","","SC","DEFERIDO","01.282.220/0001-18","","0","0","0","0","0","617306,23","0","617306,23"
"","As Fabulosas Aventuras de Inez ","","SC","DEFERIDO","01.282.220/0001-18","","0","0","125000","0","0","0","0","125000"
"","","","SP","DEFERIDO","01.287.007/0001-07","44 BICO LARGO COMERCIAL LTDA","0","1000000","600000","0","0","0","0","1600000"
"","AMAZON ADVENTURE","","SP","DEFERIDO","01.287.908/0001-90","","0","0","1700000","0","0","0","0","1700000"
"","Fora do Figurino","","SP","DEFERIDO","01.301.355/0001-83","","150000","510241","0","0","0","0","0","660241"
"","","","SC","DEFERIDO","01.349.050/0001-41","","0","2792000","1157650","219880,83","0","0","0","4169530,83"
"","","","SC","DEFERIDO","01.349.050/0001-41","","0","430500","663373","500000","0","0","0","1593873"
"","A FRONTEIRA","","SC","DEFERIDO","01.349.050/0001-41","","175000","0","0","0","0","0","0","175000"
"","","","SC","DEFERIDO","01.349.050/0001-41","","0","0","825595,02","0","0","0","0","825595,02"
"","","","RJ","DEFERIDO","01.369.211/0001-69","","0","0","0","0","2750000","0","0","2750000"
"","A CLINICA","","RJ","DEFERIDO","01.369.211/0001-69","","0","0","0","0","400000","0","0","400000"
"","Erva do Rato","","RJ","DEFERIDO","01.369.211/0001-69","","0","0","800000","0","0","0","0","800000"
"","Piedade","","RJ","DEFERIDO","01.369.211/0001-69","","0","0","1000000","0","0","0","0","1000000"
